SID,surprise
1003,1.128743272
1003,1.306474816
1003,1.330613187
1003,1.40685197
1003,1.291942246
1003,1.278525354
1003,1.136250625
1003,1.106373357
1003,1.256829519
1003,1.329927705
1003,1.255114357
1003,1.32940839
1003,1.022372766
1003,1.206032559
1003,1.127076999
1003,1.567661102
1003,1.518026831
1003,1.263539808
1003,1.006133579
1003,1.266854305
1003,1.074415322
1003,0.882095451
1003,1.075644963
1003,1.384488301
1003,1.472964819
1003,1.490421802
1003,1.258996521
1003,1.325407764
1003,1.665907729
1003,1.613651391
1003,1.522040265
1003,1.394910163
1003,1.349744153
1003,1.287390152
1003,1.167636471
1003,1.298598029
1003,1.06855075
1003,1.032573704
1003,1.376154793
1003,1.410202687
1003,1.268911647
1003,1.354687057
1003,1.449118103
1003,1.581565841
1003,1.369546662
1003,1.341989537
1003,1.302774392
1003,1.375788367
1003,1.191760897
1003,1.24693826
1003,1.137316832
1003,1.246188409
1003,1.170405779
1003,1.015149807
1003,1.216771288
1003,1.403191217
1003,1.596843769
1003,1.394102641
1003,1.528676188
1003,1.41667956
1003,1.204851306
1003,1.28488981
1003,1.40315797
1003,1.453241648
1003,1.309286391
1003,1.159820885
1003,1.169406163
1003,1.084250147
1003,1.097931657
1003,1.088002611
1003,0.998475133
1003,1.012634297
1003,1.005353329
1003,1.383159437
1003,1.449666645
1003,1.486571863
1003,1.531115736
1003,1.49339932
1003,1.532591012
1003,1.221025261
1003,1.098790005
1003,1.192157141
1003,1.47145018
1003,1.484379005
1003,1.381045274
1003,1.454884483
1003,1.03078024
1003,1.110866251
1003,1.176659758
1003,1.38648099
1003,1.442808344
1003,1.496587337
1003,1.307094062
1003,1.362445373
1003,1.142471899
1003,1.141984412
1003,1.114416769
1003,0.99599948
1003,1.412948553
1003,1.104299199
1003,0.874959405
1003,1.134427994
1003,0.985979814
1003,1.472962969
1003,1.393716374
1003,1.5377203
1003,1.47412769
1003,1.536394867
1003,1.633125947
1003,1.467846611
1003,1.35195512
1003,1.245011743
1003,1.303961257
1003,1.20123801
1003,1.114310604
1003,1.060174495
1003,1.228500924
1003,1.323046814
1003,1.269036579
1003,1.381933438
1003,1.40957928
1003,1.452521277
1003,1.475632485
1003,1.495832079
1003,1.386670228
1003,1.313140703
1003,1.269442574
1003,1.214294652
1003,1.285625607
1003,1.326546845
1003,1.293670453
1003,1.101408434
1003,1.137542647
1003,1.113136158
1003,1.439900841
1003,1.359578588
1003,1.344225286
1003,1.294824324
1003,1.252385573
1003,1.140389644
1003,1.116253095
1003,1.054170527
1003,0.995281722
1003,1.301665497
1003,1.152528257
1003,1.471234554
1003,1.389990477
1003,1.498320165
1003,1.518772413
1003,1.53592753
1003,1.508785812
1003,1.355725737
1003,1.260394761
1003,1.273204786
1003,1.448669816
1003,1.464213054
1003,1.470452914
1003,1.241162129
1003,1.281075409
1003,1.213012854
1003,1.319683348
1003,1.290571473
1003,1.388933215
1003,1.345891075
1003,1.101741433
1003,1.195545946
1003,1.157718767
1003,1.465794677
1003,1.284360447
1003,1.407698733
1003,1.397994924
1003,1.395078235
1003,1.381879247
1003,1.352543348
1003,1.186936681
1003,1.407005168
1003,1.24296097
1003,1.355323296
1003,1.356380522
1003,1.321815868
1003,1.322770615
1003,1.175166597
1003,1.197016081
1003,1.282882513
1003,1.293810608
1003,1.244033837
1003,1.372763919
1003,1.385417372
1003,1.456989127
1003,1.513913694
1003,1.407925345
1003,1.337455527
1003,1.336598284
1003,1.189589959
1003,1.417576025
1003,1.265606587
1003,1.341341467
1003,1.13295409
1003,1.371444717
1003,1.312570299
1003,1.370372622
1003,1.349051472
1003,1.301294528
1003,1.281571721
1003,1.424099905
1003,1.126654635
1003,1.092546844
1003,1.258442881
1003,1.403453623
1003,1.269281929
1003,1.371250113
1003,1.019036684
1003,1.11040505
1003,1.156782248
1003,1.360509071
1003,1.344101579
1003,0.906855574
1003,1.10662751
1003,1.042136286
1003,1.564697687
1003,1.421217787
1003,1.519753911
1003,1.539383879
1003,1.40019558
1003,1.33196868
1003,1.318728895
1003,1.500066964
1003,1.377971674
1003,1.457821337
1003,1.245931679
1003,1.292744574
1003,1.213527816
1003,1.172579828
1003,1.080554539
1003,1.319220305
1003,1.255913453
1003,1.47423228
1003,1.414394061
1003,1.34597345
1003,1.379907244
1003,1.383322516
1003,1.466144232
1003,1.349079583
1003,1.298436791
1003,1.266394835
1003,1.220637813
1003,1.334575637
1003,1.281495396
1003,1.400796444
1003,1.401680095
1003,1.310849251
1003,1.140526001
1003,1.227955131
1003,1.189411734
1003,1.354786081
1003,1.128451937
1003,1.419085074
1003,1.40943176
1003,1.46411114
1003,1.40546007
1003,1.36391961
1003,1.358792365
1003,1.338447073
1003,1.274417597
1003,1.269256326
1003,1.293321694
1003,1.334589949
1003,1.233482372
1003,1.383760251
1003,1.388225502
1003,1.415147128
1003,1.392341509
1003,1.353666817
1003,1.356397543
1003,1.337560891
1003,1.302952772
1003,1.294380091
1003,1.339475479
1003,1.347155306
1003,1.343996985
1003,1.356091112
1003,1.12456216
1003,1.129581559
1003,1.129852281
1003,1.345310729
1003,1.382230962
1003,1.360860481
1003,1.32418855
1003,1.338282609
1003,1.44155135
1003,1.459254122
1003,1.428901553
1003,1.340666458
1003,1.252934633
1003,1.262788788
1003,1.24440655
1003,1.340005387
1003,1.347465785
1003,1.325376326
1003,1.33608153
1003,1.314523972
1003,1.416436527
1003,1.43154087
1003,1.397777613
1003,1.332942377
1003,1.283989101
1003,1.292236175
1003,1.274027119
1003,1.336999755
1003,1.094334211
1003,1.090683595
1003,1.13481773
1003,1.402808491
1003,1.322648978
1003,1.390683426
1003,1.378928762
1003,1.389928415
1003,1.431247785
1003,1.403016002
1003,1.378052873
1003,1.324669079
1003,1.251881007
1003,1.226806964
1003,1.260673161
1003,1.37693999
1003,1.33224189
1003,1.380897231
1003,1.367414244
1003,1.33500108
1003,1.298456279
1003,1.153668377
1003,1.12814027
1003,1.099245665
1003,1.324284848
1003,1.461469394
1003,1.386683634
1003,1.34768144
1003,1.32644116
1003,1.394720801
1003,1.489084765
1003,1.24830997
1003,1.340477502
1003,1.258785738
1003,1.258282168
1003,1.277117872
1003,1.256084129
1003,1.275747549
1003,1.35186934
1003,1.432411718
1003,1.424762374
1003,1.150673595
1003,1.216859905
1003,1.213749917
1003,1.413866763
1003,1.447243728
1003,1.352536347
1003,1.338431036
1003,1.30954769
1003,1.335335622
1003,1.340190619
1003,1.324401043
1003,1.320250694
1003,1.276700569
1003,1.29681117
1003,1.264184642
1003,1.310620872
1003,1.300327668
1003,1.130911335
1003,1.289505985
1003,1.244005244
1003,1.391103075
1003,1.379722301
1003,1.457470037
1003,1.441388107
1003,1.410311105
1003,1.264887482
1003,1.295901196
1003,1.262091348
1003,1.245834822
1003,1.262390842
1003,1.361664362
1003,1.338815975
1003,1.425958132
1003,1.401380021
1003,1.142602099
1003,1.207323538
1003,1.38917382
1003,1.240583692
1003,1.336638168
1003,1.300864087
1003,1.27665701
1003,1.33276235
1003,1.321342155
1003,1.206919561
1003,1.136953574
1003,1.107489567
1003,1.030585352
1003,1.057271829
1003,0.964476717
1003,0.905022433
1003,1.408429897
1003,1.35626329
1003,1.420175351
1003,1.203046243
1003,1.144276587
1003,1.029823156
1003,0.794622677
1003,1.095824854
1003,1.451387184
1003,0.745778354
1003,0.974954539
1003,1.230506778
1003,1.771897536
1003,1.60812671
1003,1.243095886
1003,1.357396983
1003,1.575290304
1003,1.539098268
1003,1.446193905
1003,1.405516197
1003,1.506478308
1003,1.205603946
1003,1.27502565
1003,1.4438677
1003,1.19679107
1003,1.338328854
1003,1.254146541
1003,1.255719636
1003,1.146271447
1003,1.053249333
1003,1.357078505
1003,1.317416975
1003,1.338439685
1003,1.450348841
1003,1.157216355
1003,1.142965098
1003,1.094388859
1003,1.067475623
1003,1.04301429
1003,0.960057217
1003,1.385936378
1003,1.325180167
1003,0.898595219
1003,0.844704961
1003,1.179863578
1003,1.298864327
1003,1.709111781
1003,1.588690242
1003,1.293930199
1003,1.017521256
1003,0.943807161
1003,1.066604208
1003,1.250163121
1003,1.600451276
1003,1.313624566
1003,1.465708408
1003,1.247441931
1003,1.491453631
1003,1.526670647
1003,1.453297223
1003,1.499309201
1003,1.372214523
1003,1.193572289
1003,1.23661337
1003,1.232590158
1003,1.283620115
1003,1.309389488
1003,1.334612508
1003,1.273230934
1003,1.457498308
1003,1.446142545
1003,1.44381655
1003,1.452601575
1003,1.346516709
1003,1.245744938
1003,1.211874303
1003,1.292018221
1003,1.332051175
1003,1.275180166
1003,1.095844699
1003,1.145612678
1003,1.09404538
1003,1.001666163
1003,1.386675287
1003,1.318367679
1003,1.443444815
1003,1.41138948
1003,1.429509843
1003,1.334308532
1003,1.477039974
1003,1.393376072
1003,1.312284685
1003,1.127505644
1003,1.217155605
1003,1.166936957
1003,1.114044049
1003,1.34086958
1003,1.308295874
1003,1.363729328
1003,1.397938747
1003,1.407043455
1003,1.186445444
1003,1.278134919
1003,1.274310229
1003,1.172558448
1003,1.320354914
1003,1.30739087
1003,1.366643095
1003,1.484713125
1003,1.350733828
1003,1.381612681
1003,1.256197374
1003,1.131353195
1003,1.168498566
1003,1.279864357
1003,1.1709581
1003,1.310372733
1003,0.990839774
1003,1.07547466
1003,1.257674881
1003,1.328063282
1003,0.957201152
1003,1.083233042
1003,1.239970375
1003,1.314002984
1003,1.590993529
1003,1.274814875
1003,1.51583163
1003,1.394355055
1003,1.109899159
1003,1.076779354
1003,1.246754391
1003,1.135249134
1003,1.509847827
1003,1.452853141
1003,1.30138557
1003,1.323982559
1003,1.290812062
1003,1.26962712
1003,1.211172271
1003,1.139740296
1003,1.286876556
1003,1.221415998
1003,1.459710758
1003,1.440275208
1003,1.267334811
1003,1.310008217
1003,1.282086699
1003,1.277669782
1003,1.107382339
1003,1.513008832
1003,1.167099921
1003,1.292367666
1003,1.264408579
1003,1.409943045
1003,1.393730848
1003,1.247494929
1003,1.189276218
1003,1.178296077
1003,1.051639857
1003,1.077784152
1003,1.082879779
1003,0.90210399
1003,1.358971173
1003,1.474826319
1003,1.764965614
1003,1.345518755
1003,0.953065074
1003,0.956847185
1003,1.155674623
1003,1.135318712
1003,1.511856697
1003,1.496778502
1003,1.383688951
1003,1.167216258
1003,1.046870638
1003,1.046183314
1003,1.053083717
1003,0.979351975
1003,1.447161849
1003,1.361617366
1003,1.481683142
1003,1.462898826
1003,1.515094355
1003,1.080397567
1003,1.087341796
1003,1.328197729
1003,1.583598118
1003,1.267039449
1003,1.112519547
1003,1.087959821
1003,0.933254361
1003,1.081937539
1003,0.978604948
1003,0.931834517
1003,0.861179164
1003,1.324235665
1003,1.440368372
1003,1.513930612
1003,1.472607484
1003,1.620326454
1003,1.058516671
1003,1.018333607
1003,0.997918748
1003,1.25111786
1003,1.530942095
1003,1.299188988
1003,1.535335228
1003,1.487366282
1003,1.393387406
1003,1.388905287
1003,1.434722614
1003,1.462017115
1003,1.201726125
1003,1.447029482
1003,1.27117247
1003,1.459574644
1003,1.401600973
1003,1.315200514
1003,1.334013435
1003,1.366051431
1003,1.357596058
1003,1.237606024
1003,1.319465822
1003,1.322130884
1003,1.246951931
1003,1.064785241
1003,1.133515673
1003,1.131715463
1003,1.418403615
1003,1.404537575
1003,1.20953662
1003,1.437122376
1003,1.384820585
1003,1.364198284
1003,1.384765808
1003,1.359520615
1003,1.370034118
1003,1.237319942
1003,1.254219751
1003,1.273667029
1003,1.40275916
1003,1.377317787
1003,1.321952144
1003,1.358827647
1003,1.356119434
1003,1.332701486
1003,1.107096599
1003,1.352649319
1003,1.127926765
1003,1.008425337
