SID,parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
1028,regression_beta_post_error,0.1397,0.0292,0.0003,7868.0496,5170.0777,1.0006,0.0898
1028,xprob_volatility,-2.1906,0.3199,0.0084,3001.2866,2428.0846,1.0009,0.0342
1028,regression_intercept,5.871,0.0665,0.0008,6894.7207,5362.7005,1.0012,0.0787
1028,regression_beta_surprise,-0.186,0.068,0.0011,3602.3393,4093.5778,1.0006,0.0411
1028,regression_beta_post_reversal,0.0093,0.008,0.0001,8024.5725,5321.8804,1.0004,0.0916
1006,regression_beta_unexpected_uncertainty,0.8891,0.5885,0.0137,1857.4721,2443.1878,1.0011,0.0131
1006,regression_noise,0.1601,0.0027,0,6246.7748,5031.4801,1.0009,0.044
1006,regression_beta_expected_uncertainty,1.0362,0.4673,0.0084,3117.9587,4558.4046,1.0012,0.022
1006,regression_beta_post_error,0.0938,0.0407,0.0006,4951.9627,4931.6201,1.0013,0.0349
1006,xprob_volatility,-5.5449,0.7202,0.014,2755.4094,3816.9842,1.0001,0.0194
1006,regression_intercept,5.3368,0.2087,0.0049,1835.5911,2356.8895,1.0011,0.0129
1006,regression_beta_surprise,0.32,0.0856,0.0021,1743.134,2573.285,1.0008,0.0123
1006,regression_beta_post_reversal,0.01,0.0097,0.0002,2690.9498,3962.8603,1,0.0189
1009,regression_beta_unexpected_uncertainty,0.0178,0.6287,0.0175,1330.9232,1108.6224,1.0295,0.0115
1009,regression_noise,0.2191,0.0036,0,5832.2316,4832.4885,1.001,0.0506
1009,regression_beta_expected_uncertainty,-0.3357,1.1835,0.2308,36.0608,608.7937,1.2199,0.0003
1009,regression_beta_post_error,0.1054,0.0246,0.0004,4810.892,4986.2287,1.001,0.0417
1009,xprob_volatility,-4.3327,1.9338,0.3845,35.7231,525.2289,1.2287,0.0003
1009,regression_intercept,5.53,0.213,0.0063,1274.6358,652.3072,1.0697,0.0111
1009,regression_beta_surprise,0.0999,0.1335,0.0201,45.6847,773.2416,1.1518,0.0004
1009,regression_beta_post_reversal,0.0754,0.0111,0.0002,2311.8062,3442.43,1.0073,0.02
1029,regression_beta_unexpected_uncertainty,0.514,0.3204,0.0056,3747.8828,2016.9595,1.0003,0.0427
1029,regression_noise,0.169,0.0027,0,7553.7805,4955.5599,1.0004,0.0861
1029,regression_beta_expected_uncertainty,0.2395,0.278,0.0047,4427.5151,2534.3954,1.0006,0.0504
1029,regression_beta_post_error,-0.0213,0.0312,0.0004,7915.7502,5076.7756,1.0003,0.0902
1029,xprob_volatility,-2.875,0.5753,0.0138,2115.3622,2142.46,1.0007,0.0241
1029,regression_intercept,5.733,0.093,0.0017,3484.5979,2470.687,1.0006,0.0397
1029,regression_beta_surprise,0.01,0.0534,0.001,2910.9926,2924.0565,1.0005,0.0332
1029,regression_beta_post_reversal,-0.0551,0.0079,0.0001,7997.2365,5273.1871,1.0001,0.0911
1030,regression_beta_unexpected_uncertainty,0.2566,0.4065,0.0096,1856.9925,2121.948,1.0017,0.0163
1030,regression_noise,0.1522,0.0025,0,5710.3958,5060.5491,1.0011,0.0503
1030,regression_beta_expected_uncertainty,-0.538,0.5018,0.0141,1278.8559,3929.9966,1.0031,0.0113
1030,regression_beta_post_error,0.0453,0.0155,0.0002,5074.9303,4870.3622,1.0003,0.0447
1030,xprob_volatility,-3.9579,1.1899,0.0426,886.1305,1849.7606,1.0061,0.0078
1030,regression_intercept,5.6343,0.1241,0.0028,2135.0088,2258.0735,1.0019,0.0188
1030,regression_beta_surprise,0.0487,0.0634,0.002,1191.7867,1333.827,1.005,0.0105
1030,regression_beta_post_reversal,-0.0159,0.0072,0.0001,6094.5989,5272.1963,1.0012,0.0536
1031,regression_beta_unexpected_uncertainty,-0.2165,0.5013,0.0092,2946.5613,3914.1689,1.0007,0.0208
1031,regression_noise,0.1589,0.0027,0,6169.101,5018.5768,1.0006,0.0435
1031,regression_beta_expected_uncertainty,-1.4523,0.4227,0.0061,4848.849,5385.5126,1.0011,0.0342
1031,regression_beta_post_error,0.0683,0.0205,0.0003,5918.9345,4734.6127,1.0003,0.0418
1031,xprob_volatility,-5.2103,0.4238,0.0061,5176.2655,4085.9311,1.0002,0.0365
1031,regression_intercept,5.9914,0.174,0.0032,2964.1783,3744.1322,1.0004,0.0209
1031,regression_beta_surprise,0.0089,0.0644,0.0012,2944.8733,4003.0534,1.0005,0.0208
1031,regression_beta_post_reversal,-0.0015,0.008,0.0001,5242.7469,5396.3013,1.0007,0.037
1032,regression_beta_unexpected_uncertainty,-0.0445,0.6509,0.0156,1746.8496,2964.041,1.0009,0.0136
1032,regression_noise,0.2034,0.0033,0,5821.6062,5038.4187,1.0004,0.0452
1032,regression_beta_expected_uncertainty,0.3199,0.5077,0.0092,3091.7266,4494.5549,1.0009,0.024
1032,regression_beta_post_error,0.2029,0.0453,0.0006,5545.5878,5280.3417,1.0003,0.0431
1032,xprob_volatility,-5.5068,0.64,0.0117,3980.9288,2847.0796,1.0011,0.0309
1032,regression_intercept,5.6922,0.2397,0.0058,1702.5317,2867.5246,1.0012,0.0132
1032,regression_beta_surprise,0.1908,0.0932,0.0022,1724.1923,3167.8262,1.0012,0.0134
1032,regression_beta_post_reversal,0.0176,0.0107,0.0002,4499.7675,4434.3054,1.0002,0.0349
1033,regression_beta_unexpected_uncertainty,0.2797,0.5589,0.0202,817.6191,1704.2158,1.0034,0.0069
1033,regression_noise,0.2063,0.0034,0.0001,3376.8812,3958.9586,1.0018,0.0285
1033,regression_beta_expected_uncertainty,-0.3003,0.824,0.0479,386.5317,2337.952,1.0112,0.0033
1033,regression_beta_post_error,0.0856,0.0292,0.0004,4285.3715,5180.9385,1.001,0.0361
1033,xprob_volatility,-3.3834,1.4255,0.0877,345.9584,1232.6829,1.0134,0.0029
1033,regression_intercept,5.9265,0.1943,0.0088,620.6272,1639.6143,1.0052,0.0052
1033,regression_beta_surprise,0.0109,0.0788,0.0018,1923.8584,2737.0049,1.0017,0.0162
