"","SID","Session","Block","Trial","Sequence","Stimt-2","Stimt-1","Stimt","RT","Response","Delay","post_reversal","Result","Trial_Number","Correct","log_RT","inverse_RT","post_error"
"81",1033,1,1,81,"High Prob","3","4","2",0.4893511,2,0.4,"0","Correct",81,1,-0.714675051232994,2.04352253422951,"0"
"82",1033,1,1,82,"High Prob","4","2","3",0.3807561,3,0.6,"0","Correct",82,1,-0.965596266324039,2.62635319565465,"0"
"83",1033,1,1,83,"High Prob","2","3","1",0.5287867,1,0.3,"0","Correct",83,1,-0.63717014204689,1.89112169424836,"0"
"84",1033,1,1,84,"Low Prob","3","1","4",0.3268462,4,0.5,"0","Correct",84,1,-1.11826555511918,3.05954298994451,"0"
"85",1033,1,1,85,"Low Prob","1","4","2",0.4009076,2,0.6,"0","Correct",85,1,-0.914024302167392,2.49434034176454,"0"
"86",1033,1,1,86,"High Prob","4","2","3",0.4996308,3,0.3,"0","Correct",86,1,-0.6938858533115,2.00147789127492,"0"
"87",1033,1,1,87,"High Prob","2","3","1",0.3483316,1,0.45,"0","Correct",87,1,-1.05460037934027,2.87082768258751,"0"
"88",1033,1,1,88,"High Prob","3","1","2",0.445122,2,0.4,"0","Correct",88,1,-0.809406877086772,2.24657509626574,"0"
"89",1033,1,1,89,"High Prob","1","2","1",0.4404575,1,0.45,"0","Correct",89,1,-0.819941319531803,2.27036660744794,"0"
"90",1033,1,1,90,"High Prob","2","1","4",0.4598326,4,0.25,"0","Correct",90,1,-0.776892768774895,2.17470444679216,"0"
"91",1033,1,1,91,"High Prob","1","4","3",0.422636,3,0.45,"0","Correct",91,1,-0.861243990490379,2.36610227240462,"0"
"92",1033,1,1,92,"High Prob","4","3","2",0.4026282,2,0.45,"0","Correct",92,1,-0.909741723520073,2.48368097415929,"0"
"93",1033,1,1,93,"High Prob","3","2","4",0.4133371,4,0.5,"0","Correct",93,1,-0.883491796189461,2.41933279156408,"0"
"94",1033,1,1,94,"High Prob","2","4","1",0.4000211,1,0.3,"0","Correct",94,1,-0.916237983265387,2.49986813195604,"0"
"95",1033,1,1,95,"High Prob","4","1","3",0.3807586,3,0.45,"0","Correct",95,1,-0.965589700462605,2.6263359514401,"0"
"96",1033,1,1,96,"High Prob","1","3","4",0.4408059,4,0.5,"0","Correct",96,1,-0.819150636478016,2.26857217655208,"0"
"97",1033,1,1,97,"High Prob","3","4","2",0.424208,2,0.35,"0","Correct",97,1,-0.857531378000624,2.35733413797005,"0"
"98",1033,1,1,98,"Low Prob","4","2","1",0.2542588,1,0.6,"0","Correct",98,1,-1.36940263304968,3.93300054904688,"0"
"99",1033,1,1,99,"High Prob","2","1","4",0.3809794,4,0.55,"0","Correct",99,1,-0.965009973558646,2.62481383507875,"0"
"100",1033,1,1,100,"High Prob","1","4","3",0.4009911,3,0.3,"0","Correct",100,1,-0.913816046435585,2.49382093517786,"0"
"101",1033,1,1,101,"High Prob","4","3","2",0.5837419,2,0.2,"0","Correct",101,1,-0.538296345898298,1.71308586894311,"0"
"102",1033,1,1,102,"High Prob","3","2","4",0.3831761,4,0.4,"0","Correct",102,1,-0.959260604350324,2.60976611015144,"0"
"103",1033,1,1,103,"High Prob","2","4","1",0.3045841,1,0.35,"0","Correct",103,1,-1.18880803948956,3.28316547055477,"0"
"104",1033,1,1,104,"High Prob","4","1","3",0.405225,3,0.35,"0","Correct",104,1,-0.903312810583898,2.46776482201246,"0"
"105",1033,1,1,105,"High Prob","1","3","4",0.3659746,4,0.55,"0","Correct",105,1,-1.00519134689609,2.73243006481871,"0"
"106",1033,1,1,106,"High Prob","3","4","2",0.4800063,2,0.35,"0","Correct",106,1,-0.733956050166332,2.08330598994222,"0"
"107",1033,1,1,107,"High Prob","4","2","3",0.3940611,3,0.45,"0","Correct",107,1,-0.931249305565133,2.53767753274809,"0"
"108",1033,1,1,108,"High Prob","2","3","1",0.5173955,1,0.5,"0","Correct",108,1,-0.658947706600848,1.93275743604264,"0"
"109",1033,1,1,109,"Low Prob","3","1","4",0.4614561,4,0.45,"0","Correct",109,1,-0.773368354157578,2.16705337734185,"0"
"110",1033,1,1,110,"High Prob","1","4","3",0.4342519,3,0.2,"0","Correct",110,1,-0.834130498510679,2.30281088004451,"0"
"111",1033,1,1,111,"High Prob","4","3","2",0.4555946,2,0.2,"0","Correct",111,1,-0.786151899981546,2.19493382932985,"0"
"112",1033,1,1,112,"High Prob","3","2","4",0.3783112,4,0.25,"0","Correct",112,1,-0.972038141648707,2.64332644658683,"0"
"113",1033,1,1,113,"High Prob","2","4","1",0.3123702,2,0.45,"0","Wrong",113,0,-1.16356625609154,3.20132970430598,"0"
"114",1033,1,1,114,"High Prob","4","1","3",0.4430806,3,0.4,"0","Correct",114,1,-0.814003584177059,2.25692571509563,"1"
"115",1033,1,1,115,"High Prob","1","3","4",0.3824056,4,0.25,"0","Correct",115,1,-0.961273453560654,2.61502446616891,"0"
"116",1033,1,1,116,"High Prob","3","4","2",0.2778014,1,0.6,"0","Wrong",116,0,-1.28084880907776,3.59969388203227,"0"
"117",1033,1,1,117,"High Prob","4","2","3",0.3758962,3,0.45,"0","Correct",117,1,-0.978442237534663,2.6603088831438,"1"
