Block	Trial	Sequence	NumA	NumB	NumC	RT	Response	Delay
2	115	A	2	3	1	2.92E-01	1	3.50E-01
2	116	A	3	1	2	3.90E-01	2	2.00E-01
2	117	B	1	2	4	2.42E-01	4	3.50E-01
2	118	A	2	4	1	3.24E-01	1	5.50E-01
2	119	A	4	1	3	2.78E-01	3	4.50E-01
2	120	A	1	3	4	3.00E-01	4	3.00E-01
3	1	B	2	3	4	3.44E-01	4	2.00E-01
3	2	A	3	4	2	2.52E-01	2	6.00E-01
3	3	A	4	2	3	2.96E-01	3	5.00E-01
3	4	B	2	3	4	3.21E-01	4	6.00E-01
3	5	B	3	4	1	3.27E-01	1	2.50E-01
3	6	A	4	1	3	2.72E-01	3	6.00E-01
3	7	A	1	3	4	3.10E-01	4	6.00E-01
3	8	A	3	4	2	2.74E-01	2	3.50E-01
3	9	A	4	2	3	2.87E-01	3	5.00E-01
3	10	A	2	3	1	4.61E-01	1	5.00E-01
3	11	A	3	1	2	3.21E-01	2	4.00E-01
3	12	A	1	2	1	3.40E-01	1	3.50E-01
3	13	A	2	1	4	2.48E-01	4	4.00E-01
3	14	A	1	4	3	3.22E-01	3	3.00E-01
3	15	A	4	3	2	3.05E-01	2	2.00E-01
3	16	A	3	2	4	3.02E-01	4	2.00E-01
3	17	A	2	4	1	3.03E-01	1	3.00E-01
3	18	A	4	1	3	3.51E-01	3	4.50E-01
3	19	B	1	3	2	2.79E-01	2	5.00E-01
3	20	A	3	2	4	2.96E-01	4	2.00E-01
3	21	A	2	4	1	2.34E-01	1	2.00E-01
3	22	A	4	1	3	2.78E-01	3	3.00E-01
3	23	A	1	3	4	2.58E-01	4	4.00E-01
3	24	A	3	4	2	3.67E-01	2	3.50E-01
3	25	A	4	2	3	3.28E-01	3	6.00E-01
3	26	A	2	3	1	2.85E-01	1	2.50E-01
3	27	A	3	1	2	3.29E-01	2	5.00E-01
3	28	A	1	2	1	3.43E-01	1	2.50E-01
3	29	A	2	1	4	2.06E-01	4	3.50E-01
3	30	A	1	4	3	3.03E-01	3	4.00E-01
3	31	A	4	3	2	2.32E-01	2	4.50E-01
3	32	A	3	2	4	2.51E-01	4	4.00E-01
3	33	A	2	4	1	2.79E-01	1	5.50E-01
3	34	A	4	1	3	3.04E-01	3	3.50E-01
3	35	A	1	3	4	2.99E-01	4	5.00E-01
3	36	A	3	4	2	3.46E-01	1	2.00E-01
3	37	A	4	2	3	2.92E-01	3	5.00E-01
3	38	B	2	3	4	3.31E-01	4	2.50E-01
3	39	A	3	4	2	2.49E-01	2	3.50E-01
