,SID,Session,Block,Trial,Sequence,Stimt-2,Stimt-1,Stimt,RT,Response,Delay,Result,Trial_Number,Correct,log_RT,inverse_RT,post_error
160,1033,Baseline,2,40,High Prob,3,1,2,0.281706,2,0.6,Correct,160,1,-1.266891305,3.549800146,0
161,1033,Baseline,2,41,High Prob,1,2,1,0.3890716,1,0.2,Correct,161,1,-0.943991891,2.570221008,0
162,1033,Baseline,2,42,Low Prob,2,1,3,0.5404455,3,0.2,Correct,162,1,-0.61536148,1.850325333,0
163,1033,Baseline,2,43,High Prob,1,3,4,0.3078438,4,0.45,Correct,163,1,-1.178162768,3.24840065,0
164,1033,Baseline,2,44,High Prob,3,4,2,0.3905503,2,0.4,Correct,164,1,-0.940198509,2.560489648,0
165,1033,Baseline,2,45,Low Prob,4,2,1,0.2559661,1,0.55,Correct,165,1,-1.362710265,3.906767341,0
166,1033,Baseline,2,46,High Prob,2,1,4,0.4446446,4,0.2,Correct,166,1,-0.810479968,2.248987169,0
167,1033,Baseline,2,47,Low Prob,1,4,2,0.2780358,2,0.5,Correct,167,1,-1.280005397,3.596659135,0
168,1033,Baseline,2,48,Low Prob,4,2,1,0.4340552,1,0.2,Correct,168,1,-0.834583564,2.303854441,0
169,1033,Baseline,2,49,High Prob,2,1,4,0.5014187,4,0.25,Correct,169,1,-0.690313798,1.994341256,0
170,1033,Baseline,2,50,High Prob,1,4,3,0.3641731,3,0.5,Correct,170,1,-1.010125975,2.745946914,0
171,1033,Baseline,2,51,High Prob,4,3,2,0.4328618,2,0.3,Correct,171,1,-0.837336771,2.310206167,0
172,1033,Baseline,2,52,Low Prob,3,2,3,0.4322742,3,0.35,Correct,172,1,-0.83869517,2.313346482,0
173,1033,Baseline,2,53,High Prob,2,3,1,0.4356252,1,0.25,Correct,173,1,-0.830973038,2.295551313,0
174,1033,Baseline,2,54,High Prob,3,1,2,0.4510347,2,0.35,Correct,174,1,-0.796211002,2.217124314,0
175,1033,Baseline,2,55,Low Prob,1,2,4,0.3977422,4,0.45,Correct,175,1,-0.921951222,2.514191353,0
176,1033,Baseline,2,56,High Prob,2,4,1,0.6051422,1,0.4,Correct,176,1,-0.502291807,1.652504155,0
177,1033,Baseline,2,57,High Prob,4,1,3,0.4838892,3,0.4,Correct,177,1,-0.725899324,2.066588798,0
178,1033,Baseline,2,58,Low Prob,1,3,2,0.3192626,2,0.4,Correct,178,1,-1.141741317,3.132217804,0
179,1033,Baseline,2,59,High Prob,3,2,4,0.4572837,4,0.2,Correct,179,1,-0.782451293,2.186826252,0
180,1033,Baseline,2,60,Low Prob,2,4,3,0.4940294,3,0.6,Correct,180,1,-0.705160249,2.024171031,0
181,1033,Baseline,2,61,High Prob,4,3,2,0.3974085,2,0.3,Correct,181,1,-0.92279056,2.516302495,0
182,1033,Baseline,2,62,High Prob,3,2,4,0.5307752,4,0.25,Correct,182,1,-0.6334167,1.884036782,0
183,1033,Baseline,2,63,Low Prob,2,4,3,0.3128626,3,0.5,Correct,183,1,-1.161991162,3.196291279,0
184,1033,Baseline,2,64,High Prob,4,3,2,0.673546,2,0.25,Correct,184,1,-0.395198986,1.484679591,0
