,SID,Session,Block,Trial,Sequence,t-2,t-1,t,RT,Response,Delay,Result,Trial_Number,Correct,cutoff,log_RT,inverse_RT,post_error
56,1005,Baseline,1,58,High Prob,1,2,1,0.3595105,1,0.45,Correct,58,1,0.553885676,-1.023011895,2.781559927,0
57,1005,Baseline,1,59,Low Prob,2,1,3,0.4741872,3,0.35,Correct,59,1,0.581374264,-0.746153099,2.10887177,0
58,1005,Baseline,1,60,High Prob,1,3,4,0.3922703,4,0.35,Correct,60,1,0.553885676,-0.935804136,2.549262588,0
59,1005,Baseline,1,61,High Prob,3,4,2,0.3357163,2,0.6,Correct,61,1,0.553885676,-1.091488821,2.978705532,0
60,1005,Baseline,1,62,High Prob,4,2,3,0.3790731,3,0.55,Correct,62,1,0.553885676,-0.970026217,2.638013618,0
61,1005,Baseline,1,63,High Prob,2,3,1,0.3551126,1,0.2,Correct,63,1,0.553885676,-1.035320357,2.816008218,0
62,1005,Baseline,1,64,High Prob,3,1,2,0.2998278,2,0.2,Correct,64,1,0.553885676,-1.204546969,3.335247766,0
63,1005,Baseline,1,65,Low Prob,1,2,4,0.29454,4,0.6,Correct,65,1,0.581374264,-1.222340462,3.395124601,0
64,1005,Baseline,1,66,High Prob,2,4,1,0.3619214,1,0.4,Correct,66,1,0.553885676,-1.016328218,2.763030868,0
65,1005,Baseline,1,68,High Prob,1,3,4,0.3867424,4,0.6,Correct,68,1,0.553885676,-0.949996441,2.585700456,0
66,1005,Baseline,1,69,High Prob,3,4,2,0.4681224,2,0.35,Correct,69,1,0.553885676,-0.759025479,2.13619344,0
67,1005,Baseline,1,71,High Prob,2,3,1,0.3609278,1,0.6,Correct,71,1,0.553885676,-1.019077341,2.77063723,0
68,1005,Baseline,1,72,High Prob,3,1,2,0.2976718,2,0.4,Correct,72,1,0.553885676,-1.211763742,3.359404552,0
69,1005,Baseline,1,73,High Prob,1,2,1,0.367032,1,0.35,Correct,73,1,0.553885676,-1.002306241,2.724558077,0
70,1005,Baseline,1,74,High Prob,2,1,4,0.4230698,4,0.2,Correct,74,1,0.553885676,-0.860218102,2.363676159,0
71,1005,Baseline,1,75,High Prob,1,4,3,0.3571902,3,0.4,Correct,75,1,0.553885676,-1.029486866,2.799628881,0
72,1005,Baseline,1,76,High Prob,4,3,2,0.4658449,2,0.5,Correct,76,1,0.553885676,-0.763902533,2.146637218,0
73,1005,Baseline,1,77,High Prob,3,2,4,0.3339257,4,0.4,Correct,77,1,0.553885676,-1.096836766,2.994678157,0
74,1005,Baseline,1,78,High Prob,2,4,1,0.315368,1,0.5,Correct,78,1,0.553885676,-1.154015068,3.17089876,0
75,1005,Baseline,1,79,High Prob,4,1,3,0.3893453,3,0.2,Correct,79,1,0.553885676,-0.943288668,2.568414207,0
76,1005,Baseline,1,80,High Prob,1,3,4,0.3348152,4,0.55,Correct,80,1,0.553885676,-1.094176541,2.986722228,0
77,1005,Baseline,1,81,High Prob,3,4,2,0.528114,2,0.4,Correct,81,1,0.553885676,-0.638443109,1.893530563,0
78,1005,Baseline,1,82,High Prob,4,2,3,0.4682021,3,0.55,Correct,82,1,0.553885676,-0.758855239,2.135829805,0
79,1005,Baseline,1,83,High Prob,2,3,1,0.2822681,1,0.55,Correct,83,1,0.553885676,-1.26489795,3.542731184,0
80,1005,Baseline,1,84,Low Prob,3,1,4,0.4036559,4,0.25,Correct,84,1,0.581374264,-0.907192497,2.477357571,0
81,1005,Baseline,1,85,Low Prob,1,4,2,0.2903699,2,0.4,Correct,85,1,0.581374264,-1.236599652,3.44388313,0
82,1005,Baseline,1,86,High Prob,4,2,3,0.2937482,3,0.4,Correct,86,1,0.553885676,-1.225032341,3.404276179,0
83,1005,Baseline,1,87,High Prob,2,3,1,0.2771807,1,0.5,Correct,87,1,0.553885676,-1.283085639,3.607754797,0
84,1005,Baseline,1,88,High Prob,3,1,2,0.3951433,2,0.35,Correct,88,1,0.553885676,-0.928506795,2.53072746,0
85,1005,Baseline,1,89,High Prob,1,2,1,0.3425727,1,0.5,Correct,89,1,0.553885676,-1.071271381,2.919088415,0
86,1005,Baseline,1,90,High Prob,2,1,4,0.3679644,4,0.6,Correct,90,1,0.553885676,-0.999769085,2.717654208,0
87,1005,Baseline,1,91,High Prob,1,4,3,0.3540133,3,0.35,Correct,91,1,0.553885676,-1.038420796,2.824752629,0
88,1005,Baseline,1,92,High Prob,4,3,2,0.338728,2,0.4,Correct,92,1,0.553885676,-1.082557854,2.952221251,0
89,1005,Baseline,1,93,High Prob,3,2,4,0.4221059,4,0.35,Correct,93,1,0.553885676,-0.862499049,2.369073732,0
90,1005,Baseline,1,94,High Prob,2,4,1,0.2521981,1,0.6,Correct,94,1,0.553885676,-1.377540389,3.96513693,0
91,1005,Baseline,1,95,High Prob,4,1,3,0.436874,3,0.3,Correct,95,1,0.553885676,-0.828110455,2.288989503,0
92,1005,Baseline,1,96,High Prob,1,3,4,0.3082254,4,0.35,Correct,96,1,0.553885676,-1.176923945,3.244378951,0
93,1005,Baseline,1,97,High Prob,3,4,2,0.3349635,3,0.6,Wrong,97,0,0.461059365,-1.093733708,2.985399902,0
94,1005,Baseline,1,98,Low Prob,4,2,1,0.3343422,1,0.45,Correct,98,1,0.581374264,-1.09559026,2.990947598,0
95,1005,Baseline,1,99,High Prob,2,1,4,0.3537213,4,0.35,Correct,99,1,0.553885676,-1.039245964,2.827084487,0
96,1005,Baseline,1,100,High Prob,1,4,3,0.3604225,3,0.25,Correct,100,1,0.553885676,-1.020478325,2.774521568,0
97,1005,Baseline,1,101,High Prob,4,3,2,0.3371967,2,0.6,Correct,101,1,0.553885676,-1.087088839,2.965628074,0
98,1005,Baseline,1,102,High Prob,3,2,4,0.3545818,4,0.4,Correct,102,1,0.553885676,-1.036816212,2.820223711,0
99,1005,Baseline,1,103,High Prob,2,4,1,0.3612956,1,0.25,Correct,103,1,0.553885676,-1.018058819,2.767816713,0
100,1005,Baseline,1,104,High Prob,4,1,3,0.3340057,3,0.3,Correct,104,1,0.553885676,-1.09659722,2.993960882,0
101,1005,Baseline,1,105,High Prob,1,3,4,0.3593782,4,0.6,Correct,105,1,0.553885676,-1.023379963,2.782583919,0
102,1005,Baseline,1,106,High Prob,3,4,2,0.3621323,2,0.35,Correct,106,1,0.553885676,-1.015745664,2.761421723,0
103,1005,Baseline,1,107,High Prob,4,2,3,0.4188255,3,0.2,Correct,107,1,0.553885676,-0.870300914,2.387629216,0
104,1005,Baseline,1,108,High Prob,2,3,1,0.3048609,1,0.4,Correct,108,1,0.553885676,-1.187899672,3.280184504,0
105,1005,Baseline,1,109,Low Prob,3,1,4,0.239612,4,0.5,Correct,109,1,0.581374264,-1.428734331,4.173413685,0
106,1005,Baseline,1,110,High Prob,1,4,3,0.3249823,3,0.4,Correct,110,1,0.553885676,-1.12398456,3.07709066,0
107,1005,Baseline,1,111,High Prob,4,3,2,0.2750339,2,0.5,Correct,111,1,0.553885676,-1.290860916,3.635915427,0
